,id,tweet,label
0,1,The CDC currently reports 99031 deaths. In general the discrepancies in death counts between different sources are small and explicable. The death toll stands at roughly 100000 people today.,real
1,2,States reported 1121 deaths a small rise from last Tuesday. Southern states reported 640 of those deaths. ,real
2,4,: We have 1524 testing laboratories in India and as on 25th August 2020 36827520 tests have been done : DG ,real
3,5,Populous states can generate large case counts but if you look at the new cases per million today 9 smaller states are showing more cases per million than California or Texas: AL AR ID KS KY LA MS NV and SC. ,real
4,6,"Covid Act Now found ""on average each person in Illinois with COVID-19 is infecting 1.11 other people. Data shows that the infection growth rate has declined over time this factors in the stay-at-home order and other restrictions put in place."" ",real
5,7,If you tested positive for and have no symptoms stay home and away from other people. Learn more about CDC’s recommendations about when you can be around others after COVID-19 infection: . ,real
6,11,Take simple daily precautions to help prevent the spread of respiratory illnesses like . Learn how to protect yourself from coronavirus (COVID-19): . ,real
7,13,We just announced that the first participants in each age cohort have been dosed in the Phase 2 study of our mRNA vaccine (mRNA-1273) against novel coronavirus. Read more: ,real
8,14, More than 6 lakh tests done for 3rd successive day. Cumulative testing as on date has reached 22149351. Tests Per Million (TPM) cross 16000.,real
9,15,Protect yourself and others from when using public transportation. Practice social distancing avoid touching surfaces and practice hand hygiene. Learn more: . ,real
10,16,As of 18 August 2020 8AM till now there have been a total of 4687 positive cases &amp; 17 related deaths in ー19 ,real
11,18, India continues to scale new peaks in tests More than 11.70 lakh samples tested daily for 2 consecutive days. No other country has achieved these levels of very high daily testing. ,real
12,19,We just announced that we have shipped vials of mRNA-1273 the Company’s vaccine against the novel coronavirus to the NIH to be used in the planned Phase 1 study in the U.S. ,real
13,22,The NZ COVID Tracker app will remain important and useful at Alert level 1. People are encouraged to download the app or a similar one or keep a record of where you’re going to be.,real
14,24,We are delighted that 78 high- and upper-middle countries and economies have now confirmed they will participate in the COVAX Facility and the number is growing. I urge those who have not yet joined to do so by the 18th of September- ,real
15,25,Very intriguing possibility that mood changes and anxiety may be a function of invasion of the into the CNS and brain. ,real
16,28,Just Appendix B gathering all the state orders on testing was a huge chunk of work. Same goes for Appendix D an evaluation of the accessibility of the CDC's Data Tracker.,real
17,29,Yesterday our laboratories completed 2899 tests of those 726 were testing of people in managed isolation and quarantine for the routine testing on either days 3 or 12 of their stay. That brings the total number of tests completed to date to 436233.,real
18,30,Reusing masks NIH found vaporized hydrogen peroxide UV light and heat to be effective sanitizers. ,real
19,33,This weekend if you choose to spend time outdoors at an event or gathering stay 6 ft apart &amp; wear a cloth face cover to slow the spread of . Learn more at . ,real
20,37,We apologise to the Government of Ekiti State for this error. We remain committed to improving our quality control processes to ensure accurate and transparent reporting of cases ,real
21,39,In May we did not break 30k cases in a day. Today the South alone reported 32830. ,real
22,41,We launched the Solidarity Response Fund which has so far mobilized $225+M from more than 563000 individuals companies &amp; philanthropies. In addition we mobilized $1+ billion from Member States &amp; other generous to support countries- ,real
23,43,including that there will again be testing of asymptomatic workers involved in managed isolation and quarantine and airport and border staff. This is part of our wider surveillance measures and is expected to be operational in early July.,real
24,44,"I don't want to do a national lockdown again.' If continues to 'progress' in the UK the PM says the govt will have to take ""further measures"" but insists that he doesn't want a ""second national lockdown"". Read more here: ",real
25,45,Our daily update is published. States reported 586k tests 28k cases and 224 deaths. ,real
26,46, New Recoveries in India have exceeded the New Cases for 5 consecutive days. ,real
27,47,The top 5 States with high Active Caseload are also the ones which are presently reporting a high level of recoveries. ,real
28,48,There are currently 4927 people in managed isolation and quarantine. Our current effective capacity is 7126. This gives us an excess capacity of 2199. Over the next week we are projecting 3590 arrivals and 2699 departures from our facilities.,real
29,49,Schools are struggling to cope with a lack of tests - with new infections increasing since it became compulsory for pupils to return. But when should you get your child tested for the virus Here's our explainer ,real
30,51,Masks can help prevent the spread of when they are widely used in public. When you wear a mask you can help protect those around you. When others wear one they can help protect people around them incl. you. ,real
31,52,132 new cases of ; Lagos-52 Gombe-27 Plateau-17 Kwara-10 Enugu-9 Ogun-9 Katsina-3 Ekiti-2 Bauchi-1 Osun-1 Rivers-1 56388 confirmed 44337 discharged 1083 deaths ,real
32,54,RT : With high number of sustained recoveries India surges ahead with highest single day RECOVERY. Nearl…,real
33,59,Residents of York are asked what they think of a new government rule which allows people in England who may have to be fined up to £10000 if they fail to self-isolate. To read more click here: ,real
34,61,As of today there are a total of 1339 approved labs for testing. These consist of 911 Govt &amp; 428 Pvt labs: ー19 ,real
35,62,The government has come under pressure over a lack of availability of tests. Read more here: ,real
36,64,More than 15 million cases of have now been reported to WHO and almost 620000 deaths. Although all countries have been affected we continue to see intense transmission in a relatively small group of countries-,real
37,67, The sensitivity of the test is definitely something specialists are talking about. I have not seen a real number but I also haven’t looked that hard because we’ve been doing other things.-,real
38,69,The main mode of transmission of is through droplets and it is possible that infected smokers may blow droplets carrying the virus when they exhale. Regardless of you should steer clear of second-hand smoke as it may cause various health problems. ,real
39,71,RT : : remains one of the best ways to prevent the spread of viruses like . Here are 5️⃣ things to…,real
40,72,According to the State Health Department in is 86.7%: ー19 ,real
41,73,Our daily update is published. Sundays and Mondays are when we tend to see the numbers dip—and we see that today. Still: 62k cases rising hospitalizations and a large jump in deaths over last Sunday’s holiday numbers. The 7-day average is now back over 700. ,real
42,74,Our total number of confirmed cases of COVID-19 is now 1431 which is the number we report to the World Health Organization.,real
43,77,"UN Secretary-General Antonio Guterres says the pandemic has ""dramatically derailed"" sustainable development goals and has ""put into question"" progress that was being made on the eradication of poverty and hunger. Latest world news: ",real
44,79,Across the 21 states who report them we tracked 4468 hospitalizations the bulk in New York. But Louisiana and Florida also have growing numbers of hospitalizations.,real
45,81,: India’s Total Recoveries continue to rise cross 32.5 lakh today 5 States contribute 60% of total cases 62% of active cases and 70% of total fatality reported in India ,real
46,83,RT : : scales up Covid-19 testing capacity to 3 lakh tests per day in country. As of now tota…,real
47,86,We can now say there are 33 cases in the Mt Roskill Evangelical Fellowship group and 13 cases in the bereavement sub-cluster which includes the cases whose source of infection was the bereavement events.,real
48,87,There is no one in New Zealand receiving hospital-level care for COVID-19.⁣ ⁣ Yesterday our laboratories completed 2111 tests bringing the total number of tests completed to date to 280983. ー19,real
49,88,As at 11:50 pm 19th April the breakdown of cases by state is: Lagos- 376 FCT- 88 Kano- 36 Osun- 20 Oyo- 16 Edo- 15 Ogun- 12 Kwara- 9 Katsina- 12 Bauchi- 7 Kaduna- 6 Akwa Ibom- 9 Delta- 4 Ekiti- 3 Ondo- 3 Enugu- 2 Rivers-2 Niger- 2 Benue- 1 Anambra- 1 Borno- 1 Jigawa- 2,real
50,89,The biggest change in the data is in the number of COVID-19 patients who are currently hospitalized. With the addition of Florida's 7k hospitalizations we’re now over 51000. We have not seen those numbers since the first week of May—and they do not seem likely to decline soon. ,real
